,Product Name,Prices,Product Subtitle,Product Color Count
0,Nike Air Force 1 '07,MRP : ₹ 9 695.00,Women's Shoes,1 Colour
1,Nike Air Force 1 '07,MRP : ₹ 11 495.00,Men's Shoes,1 Colour
2,Nike Killshot 2 Leather,MRP : ₹ 7 995.00,Men's Shoe,5 Colours
3,Nike Air Max 90,MRP : ₹ 11 895.00,Women's Shoes,1 Colour
4,Nike Air Force 1 '07 LV8,MRP : ₹ 10 795.00,Men's Shoes,1 Colour
5,Nike Air Force 1 '07 LX,MRP : ₹ 11 895.00,Women's Shoes,1 Colour
6,Nike Air Force 1 '07 NN,MRP : ₹ 9 695.00,Women's Shoes,2 Colours
7,Nike Phoenix Waffle,MRP : ₹ 8 695.00,Women's Shoes,1 Colour
8,Nike Air Force 1 Shadow,MRP : ₹ 9 295.00,Women's Shoes,1 Colour
9,NikeCourt Legacy Suede,MRP : ₹ 5 995.00,Men's Shoes,1 Colour
10,Nike Waffle Debut,MRP : ₹ 5 695.00,Women's Shoes,4 Colours
11,Nike Court Vision Low,MRP : ₹ 4 995.00,Shoes,1 Colour
12,Nike Court Legacy Lift,MRP : ₹ 7 495.00,Women's Shoes,5 Colours
13,Nike Court Vision Alta,MRP : ₹ 5 995.00,Women's Shoes,4 Colours
14,Nike SB Zoom Blazer Low Pro GT,MRP : ₹ 6 795.00,Skate Shoes,4 Colours
15,Nike Air Force 1 '07,MRP : ₹ 11 895.00,Men's Shoes,2 Colours
16,NikeCourt Legacy Next Nature,MRP : ₹ 5 695.00,Women's Shoes,3 Colours
17,Nike Air Max Pulse,MRP : ₹ 13 995.00,Women's Shoes,5 Colours
18,Nike Cortez,MRP : ₹ 7 495.00,Women's Shoes,4 Colours
19,Nike Tech Hera,MRP : ₹ 9 695.00,Women's shoes,6 Colours
20,Nike Blazer Low Platform,MRP : ₹ 8 195.00,Women's Shoes,4 Colours
21,Nike Phoenix Waffle,MRP : ₹ 8 695.00,Women's Shoes,4 Colours
22,Nike Blazer Low '77 Vintage,MRP : ₹ 7 195.00,Men's Shoes,3 Colours
23,Nike Air Max SC,MRP : ₹ 5 995.00,Women's Shoes,4 Colours
